,Team,University,Points
495,team dynasty,roehampton university,88.0
496,bristol bears bees battlestar galactica,university of bristol,84.0
497,uob hades,university of birmingham,80.0
498,lancaster bomber,lancaster university,76.0
499,southampsters,university of southampton,72.0
500,warwick angles,university of warwick,68.0
501,coventry overwatch,coventry university,64.0
502,glasgow winstons fr,university of glasgow,60.0
503,loughbruh,loughborough university,56.0
504,404,university of york,52.0
505,camdu punters,university of cambridge,49.0
506,lincoln imposters,university of lincoln,47.0
507,durham defenders,durham university,45.0
508,reading knights,university of reading,43.0
509,leeds dlc,university of leeds,41.0
510,mmu minotaurs ow,manchester metropolitan university,39.0
511,uol leicester lobsters,university of leicester,37.0
512,uwe seastags red,university of the west of england,35.0
513,dot exe,university of exeter,33.0
514,dundee vanguard,university of dundee,31.0
515,caledonian chargers ow,glasgow caledonian university,29.0
516,bath bobombs,university of bath,28.0
517,cardiff comrades,cardiff university,28.0
518,plymouth leviathans,university of plymouth,27.0
519,plymouth leviathans,university of plymouth,26.0
520,kcl lions,kings college london,26.0
521,bu barracudas,bournemouth university,25.0
522,oxford brookes vipers overwatch,oxford brookes university,24.0
523,aston archangels,aston university,23.0
524,the alpha betas old,university of warwick,22.0
525,trent thunder blue,nottingham trent university,22.0
526,ulster unicorns,ulster university,21.0
527,swansea ciwcymbrau mor,swansea university,20.0
528,hull hornets,university of hull,20.0
529,falmouth foxes,fxu (falmouth & exeter student's union),19.0
530,warwick triangles,university of warwick,19.0
531,durham defenders 2,durham university,18.0
532,xx_essex_blades_xx,university of essex,18.0
533,all known laws of aviation,university of bristol,17.0
534,sheffield dragons,university of sheffield,17.0
535,surrey stags,university of surrey,16.0
536,watt wyverns,heriot watt university,16.0
537,bcuseless,birmingham city university,15.0
538,newcaslte uni,newcastle university,15.0
539,saint paindrews,university of st andrews,14.0
540,bangorow team,bangor university,14.0
541,glasgow potent substructures,university of glasgow,13.0
542,slincy,university of lincoln,13.0
543,belfasts jumbo sausage rolls,queens university belfast,12.0
544,doughnotts,university of nottingham,11.0
545,banana esports society,university of cambridge,11.0
546,pompey b,university of portsmouth,10.0
547,ls,university of southampton,10.0
548,plymouth leviathans b,university of plymouth,9.0
549,plymouth leviathans b,university of plymouth,9.0
550,sussex sharks,university of sussex,8.0
551,derby raptors educational meme club,university of derby,8.0
552,average nine enjoyers,university of york,7.0
553,gaggle exe,university of exeter,7.0
554,chi noble,university of chichester,6.0
555,kings row college,kings college london,6.0
556,uol sussy chunguses,university of leeds,6.0
557,uwe seastags white,university of the west of england,6.0
558,silver geese,university of nottingham,5.0
559,sheffield wyverns,university of sheffield,5.0
560,team valkyrie,university of abertay dundee,5.0
561,rhul academy team,royal holloway university of london,5.0
562,durham doge,durham university,4.0
563,shadows,staffordshire university,4.0
564,kent,university of kent,4.0
565,dundee rearguard,university of dundee,4.0
566,keeles row,keele university,3.0
567,monkey mondays,university of northampton,3.0
568,ucl team 2,university college london,3.0
569,durham university team 4,durham university,3.0
570,cardiffed,cardiff university,2.0
571,bee,university of manchester,2.0
572,polar owls,university of liverpool,2.0
573,trent thunder pink,nottingham trent university,1.0
574,uea nightjars,university of east anglia,1.0
575,bedford bandits,university of bedfordshire,1.0
576,heavens rejects,university of warwick,1.0
577,the disappointkents,university of kent,0.0
578,bsu legion,bath spa university,0.0
579,leeds conservatoire overwatch,leeds conservatoire,0.0
580,oxford omnics,oxford university,0.0
581,westminster dragons,university of westminster,0.0
582,warwick competitive team b,university of warwick,0.0
583,bcuwu,birmingham city university,0.0
584,teesside turnips,teesside university,0.0
585,kentastrophe,university of kent,0.0
586,mercy mains unite,university of essex,0.0
587,beckett bears,leeds beckett university,0.0
588,greasy geese,university of york,0.0
589,swanton bomb,university of lincoln,0.0
590,glasgow switches,university of glasgow,0.0
591,hog turret torture,university of southampton,0.0
592,herts lightning,university of hertfordshire,0.0
