CarDiffed,Cardiff University,7
UoL Leicester Lobsters,University of Leicester,6
SLincy,University of Lincoln,6
Saint Paindrews,University of St Andrews,6
Sussex Sharks,University of Sussex,6
Ulster Unicorns,Ulster University,5
Silver Geese,University of Nottingham,5
Dundee Rearguard,University of Dundee,5
Banana eSports Society,University of Cambridge,5
Durham Disasters,Durham University,4
Greasy Geese,University of York,4
Polar Owls,University of Liverpool,4
Beckett Bears,Leeds Beckett University,4
KCL Lions,Kings College London,3
SWANTON BOMB,University of Lincoln,3
Hog Turret Torture,University of Southampton,3
Oxford Omnics,Oxford University,3
Trent Thunder Pink,Nottingham Trent University,2
Bedford Bandits,University of Bedfordshire,2
Kentamines,University of Kent,2
Aston Archangels,Aston University,2
Leeds conservatoire Overwatch,Leeds Conservatoire,1
Warwick Competitive Team B,University of Warwick,1
Falmouth Phoenix,FXU (Falmouth & Exeter Student's Union),1
UEA Nightjars,University of East Anglia,1
,,
Lovebros,Loughborough University,150
Leads,University Of Leeds,135
Swansea Storm,Swansea University,127
Blue Charm Collectors,University of Warwick,121
Office Chairs,Keele University,116
Exeterrific,University of Exeter,112
Liverpool Arctic Foxes,University of Liverpool,108
Durham Defender,Durham University,104
TRENT WARFARE,Nottingham Trent University,100
Neocitadel,Newcastle University,96
Belfast Berserkers,Queens University Belfast,92
Oxford Brookes Vipers,Oxford Brookes University,88
,,
Edinburgh Eclipse,University of Edinburgh,84
Reading Binmen,University of Reading,80
UCL Anime Girls,University College London,76
Manchester Minotaurs,Manchester Metropolitan University,72
Cardiff Crusaders,Cardiff University,68
Birmingham Bruhmmies,University of Birmingham,64
Bruhmmies 2 Electric Boogaloo,University of Birmingham,60
Simple As,University of Lincoln,56
Coventry Fire,Coventry University,52
Leicester KKomrades,University of Leicester,49
Luff Said,Loughborough University,47
Kentucky Fried Chicken,University of Kent,45
,,
The Project,University of Abertay Dundee,43
Warwick 1st Team,University of Warwick,41
Royal Siege six,Royal Holloway University of London,39
STG,University of Southampton,37
Watt Wyverns,Heriot Watt University,35
Reeeeeeeeds,University of Leeds,33
Blue Dragon Swansea,Swansea University,31
Stinky Thatcher Deniers,University of Chichester,29
Nott gonna win,University of Nottingham,28
UEA Bluejays,University of East Anglia,28
QUB Valkyries,Queens University Belfast,27
SLUGS,University of Sheffield,26
Brunel Swans,Brunel University,26
Brighton Buccaneers,University of Brighton,25
Warwick Wraiths,University of Warwick,24
Ruskin Ravens Gold,Anglia Ruskin University,24
,,
Banshee Esports,Imperial College London,23
PORTSMOUTH PALADINS,University of Portsmouth,22
Costa Del Swan,Swansea University,22
The Minute Men,Glasgow Caledonian University,21
Trent Thunder Kixstars,Nottingham Trent University,20
KCL Lions,Kings College London,20
Kent Win,University of Kent,19
Average Copper Enjoyers,Oxford Brookes University,19
Watts_Cooking,Heriot Watt University,18
Bristol Bakas,University of Bristol,18
Valhalla,Northumbria University,17
Aber Sigma Siegers,Aberystwyth University,17
Bangor R6 Team 1,Bangor University,16
Surrey Stags 21,University of Surrey,16
Sledge Hill,Edge Hill University,15
Sunderland Esports,University of Sunderland,15
Reading Bedtime Stories,University of Reading,14
NewB Castle,Newcastle University,14
Bath Team 6,University of Bath,13
UEA Crocs and Socks,University of East Anglia,13
Salford Lions R6,University of Salford,12
Hertfordshire Blue,University of Hertfordshire,12
Leicester Team B,University of Leicester,11
Chi Challengers,University of Chichester,11
essex_r6,University of Essex,10
Wetherspoons,Staffordshire University,10
Throwchester,University of Manchester,9
Lightning McQueens,Queens University Belfast,9
Burchy eSports,Imperial College London,8
UofG Grizzlies,University of Glasgow,8
Swansea Slayers,Swansea University,7
PORTSMOUTH PANDAS,University of Portsmouth,7
Thats Enuffbruh,Loughborough University,6
Queens Guardians,Queens University Belfast,6
Leed Ons,University of Leeds,5
Ruskin Ravens Purple,Anglia Ruskin University,5
Lboro Team 1,Loughborough University,4
Live Laugh Love 2,Cardiff University,4
Wyverns of West London,University of West London,3
Aston Six,Aston University,3
Leicester Red Foxes,De Montfort University,2
Shield Team Six,Teesside University,2
Soton Team 3,University of Southampton,1
Cov pheonix Ice,Coventry University,1
,,
Keele Krackens,Keele University,150
Portsmouth Paladins,University Of Portsmouth,140
Salford Lions,University Of Salford,135
Warwick Portsmouth Paladins,University Of Warwick,130
BCU Blue,Birmingham City University,126
UWE SeaStags Black,University Of The West Of England,126
,,
UoB Nightingales,University Of Birmingham,121
RocKenteers,University Of Kent,118
Lincoln A,University Of Lincoln,115
Bournemouth Stars,Bournemouth University,115
Durham Defenders,Durham University,109
Southampton Saver Menu,University Of Southampton,109
UEA Kingfishers,University of East Anglia,109
Loughborough Lions,Loughborough University,109
Essex Blades,University Of Essex,101
Reading Knights,University Of Reading,101
UEA Bluejays,University of East Anglia,101
Nottingham Trent Thunder,Nottingham Trent University,101
,,
Exeterminators,University Of Exeter,96
Nott Inappropriate,University Of Nottingham,94
Yer Course,Liverpool John Moores University,91
Essex SoundCloud rappers,University Of Essex,91
York Pun Name,University Of York,85
Portsmouth Potatoes,University Of Portsmouth,85
Warwick Inappropriate,University Of Warwick,85
Staffordshire Samba,Staffordshire University,85
Leeds Gryphons,University Of Leeds,75
Durham Demons,Durham University,75
No Roeetations,University Of Liverpool,75
Roe Exodia,Roehampton University,75
Teesside Insurgency,Teesside University,75
Loughboomers,Loughborough University,75
ShaKeele O Neal,Keele University,65
Sussex Sharks,University Of Sussex,65
Better York Pun Name,University Of York,65
InfaMOUS Swansea,Swansea University,65
,,
Derbados,University Of Derby,59
I Dont Know,Nottingham Trent University,55
Hallam Hammerheads,Sheffield Hallam University,50
SALTFORD V2,University Of Salford,50
Leic Is More,University Of Leicester,44
QUB Monarchs,Queens University Belfast,44
UoB Bushwackers,University Of Birmingham,44
Watt Wyverns,Heriot Watt University,44
Botts,University Of Nottingham,36
Lboro Dis and Coke,Loughborough University,36
Loughborough Clangers,Loughborough University,36
Durham Durhamers,Durham University,36
Trent Salt Collectors,Nottingham Trent University,29
Edinburgh Eclipse RL,University Of Edinburgh,29
Manchester Hive,University Of Manchester,29
Staffordshire Shifters,Staffordshire University,29
,,
,,
,,
,,
,,
Couldnt Care Leic,University Of Leicester,27
Eboracum Esports,York St John University,26
Lanker A,Lancaster University,26
Aston Archangels,Aston University,26
Higgs Bosons,University Of Leeds,24
Even Better York Pun Name,University Of York,24
Trent Pegs,Nottingham Trent University,24
SkillLeic,University Of Leicester,24
Even Better Better York Pun Name,University Of York,21
Newcastle Ninjas,Newcastle University,21
The Roybois,Nottingham Trent University,21
Glasgow Grizzlies,University Of Glasgow,21
Manchester Hornets,University Of Manchester,19
grUEA,University of East Anglia,19
MTW,University Of Lincoln,19
Nott a Save,University Of Nottingham,19
,,
,,
,,
,,
,,
Loughborough Ive Had One Too Many,Loughborough University,17
I barely know her,Bangor University,17
UEA Kiwis,University of East Anglia,16
Newcastle Nobles,Newcastle University,16
Bangor University Team 2,Bangor University,15
Bronze Bois,University Of Leeds,15
Loughborough F,Loughborough University,14
The Trentlemen,Nottingham Trent University,14
Sheffield Tricksters,University Of Sheffield,13
UoB Circos,University Of Birmingham,13
Manchester Bees,University Of Manchester,12
QUB White Tigers,Queens University Belfast,12
ClueLeic,University Of Leicester,11
Siiuuugs,University Of Sheffield,11
Fit Trent Lads,Nottingham Trent University,10
UoB Pitstops,University Of Birmingham,10
EHU Overcommit Squad,Edge Hill University,9
Durham Team 6,Durham University,9
loughborough longshots,Loughborough University,8
UEA Celestials,University of East Anglia,8
TrentBoys,Nottingham Trent University,7
Keele Kings,Keele University,7
Ball is strife,University Of Liverpool,6
MMU Minotaurs,Manchester Metropolitan University,6
Nobles,Newcastle University,6
Beckett DTECs,Leeds Beckett University,6
SHUting Stars,Sheffield Hallam University,5
TrentTrebo,Nottingham Trent University,5
The Very Best York Pun Name,University Of York,5
Glasgow Grizzlies B,University Of Glasgow,5
Sheffield Lions,University Of Sheffield,4
Abertay Astronauts,University Of Abertay Dundee,4
Staffordshire Samurais,Staffordshire University,4
UseLeic,University Of Leicester,3
