aberlitzcrank,aberystwyth university,6
platinum disco,university of exeter,6
a vibe,university of kent,6
bristol stingers,university of bristol,5
surracha,university of surrey,5
uwe seastags white,university of the west of england,5
firefang warwick,university of warwick,5
5 supports 1 team,coventry university,4
car zix crusaders,cardiff university,4
deathwish,university of reading,4
plymouth leviathans team beta,university of plymouth,4
bootleg coventry phoenix,coventry university,3
shower adventure,university of bath,3
surrey chads,university of surrey,3
ravenous sharks,university of sussex,3
sussy fortnite balls,university of northampton,2
slash all,imperial college london,2
airport speedrun,queen mary university of london,2
monarchs,queen margaret university,2
buff ryze,university of kent,1
iron swan wings,swansea university,1
lol kcl green,kings college london,1
silverdotexe,university of exeter,1
built different,bournemouth university,0
sussy amogus bakas,university of northampton,0
ucl gold,university college london,0
tahm kentch,university of kent,0
hertsnia,university of hertfordshire,0
cambridge ravens red,university of cambridge,0
jammy dodgers,university of brighton,0
uwe sea stags red 2,university of the west of england,0
roehalampton,roehampton university,0
gold exeperience,university of exeter,0
silversung galaxy,cardiff university,0
swansea little pogchamps,swansea university,0
imperial mandate,imperial college london,0
portsmouth inters,university of portsmouth,0
run it down for roe,roehampton university,0
ucl red,university college london,0
feral warwick,university of warwick,0
marauder warwick,university of warwick,0
aggressively mediocre owls,oxford university,0
bu blackfrosts,bournemouth university,0
coventry ground zero,coventry university,0
svge lol blue,university of southampton,0
team not you,cardiff university,0
chonky sharks,university of sussex,0
brunel panda party,brunel university,0
i miss my exe,university of exeter,0
rising sharks,university of sussex,0
the red buffs,university of brighton,0
swansea ran out of names,swansea university,0
t3 solid,university of brighton,0
team aced,university of kent,0
hyena warwick,university of warwick,0
watermelon waddlers,staffordshire university,150
warwick angels,university of warwick,135
portsmouth paladins,university of portsmouth,127
royal bears ow,royal holloway university of london,121
viking pigeons,northumbria university,116
drywalldrinkers,staffordshire university,112
manowt1,university of manchester,108
kentamines,university of kent,104
uwe seastags black,university of the west of england,100
ucl team 1,university college london,96
uea bluejays,university of east anglia,92
team dynasty,roehampton university,88
bristol bears bees battlestar galactica,university of bristol,84
uob hades,university of birmingham,80
lancaster bomber,lancaster university,76
southampsters,university of southampton,72
warwick angles,university of warwick,68
coventry overwatch,coventry university,64
glasgow winstons fr,university of glasgow,60
loughbruh,loughborough university,56
404,university of york,52
camdu punters,university of cambridge,49
lincoln imposters,university of lincoln,47
durham defenders,durham university,45
reading knights,university of reading,43
leeds dlc,university of leeds,41
mmu minotaurs ow,manchester metropolitan university,39
uol leicester lobsters,university of leicester,37
uwe seastags red,university of the west of england,35
dot exe,university of exeter,33
dundee vanguard,university of dundee,31
caledonian chargers ow,glasgow caledonian university,29
bath bobombs,university of bath,28
cardiff comrades,cardiff university,28
plymouth leviathans,university of plymouth,27
plymouth leviathans,university of plymouth,26
kcl lions,kings college london,26
bu barracudas,bournemouth university,25
oxford brookes vipers overwatch,oxford brookes university,24
aston archangels,aston university,23
the alpha betas old,university of warwick,22
trent thunder blue,nottingham trent university,22
ulster unicorns,ulster university,21
swansea ciwcymbrau mor,swansea university,20
hull hornets,university of hull,20
falmouth foxes,fxu (falmouth & exeter student's union),19
warwick triangles,university of warwick,19
durham defenders 2,durham university,18
xx_essex_blades_xx,university of essex,18
all known laws of aviation,university of bristol,17
sheffield dragons,university of sheffield,17
surrey stags,university of surrey,16
watt wyverns,heriot watt university,16
bcuseless,birmingham city university,15
newcaslte uni,newcastle university,15
saint paindrews,university of st andrews,14
bangorow team,bangor university,14
glasgow potent substructures,university of glasgow,13
slincy,university of lincoln,13
belfasts jumbo sausage rolls,queens university belfast,12
doughnotts,university of nottingham,11
banana esports society,university of cambridge,11
pompey b,university of portsmouth,10
ls,university of southampton,10
plymouth leviathans b,university of plymouth,9
